Date,Close/Last,Volume,Open,High,Low
9/8/2023,$155.47 ,1713575,$159.83 ,$161.19 ,$154.40 
9/7/2023,$160.10 ,1892689,$158.57 ,$161.95 ,$157.79 
9/6/2023,$160.47 ,2066498,$161.90 ,$163.65 ,$159.06 
9/5/2023,$159.32 ,1710449,$156.03 ,$160.85 ,$154.87 
9/1/2023,$157.56 ,1454548,$155.56 ,$158.51 ,$155.20 
8/31/2023,$153.97 ,2305376,$149.95 ,$154.92 ,$149.82 
8/30/2023,$149.45 ,1624848,$144.64 ,$149.60 ,$144.40 
8/29/2023,$144.51 ,1045871,$140.61 ,$144.80 ,$140.50 
8/28/2023,$141.26 ,1530635,$138.89 ,$142.15 ,$138.26 
8/25/2023,$137.22 ,1360642,$138.81 ,$138.81 ,$133.69 
8/24/2023,$135.76 ,1415814,$139.18 ,$140.32 ,$135.26 
8/23/2023,$138.24 ,1629303,$133.22 ,$139.01 ,$133.11 
8/22/2023,$133.44 ,871004,$133.00 ,$134.03 ,$131.05 
8/21/2023,$132.49 ,1234780,$131.92 ,$132.97 ,$130.00 
8/18/2023,$131.87 ,1587271,$129.90 ,$132.48 ,$129.23 
8/17/2023,$131.57 ,1129296,$134.35 ,$134.85 ,$131.19 
8/16/2023,$134.35 ,1584881,$132.60 ,$136.14 ,$132.28 
8/15/2023,$133.43 ,2125331,$138.38 ,$138.58 ,$133.27 
8/14/2023,$139.38 ,1942914,$137.30 ,$139.67 ,$135.34 
8/11/2023,$138.68 ,1578499,$136.39 ,$139.20 ,$135.90 
8/10/2023,$136.43 ,2643578,$140.34 ,$140.70 ,$135.22 
8/9/2023,$139.09 ,1671193,$138.47 ,$140.18 ,$137.42 
8/8/2023,$138.37 ,2483942,$141.14 ,$141.42 ,$137.22 
8/7/2023,$141.99 ,1646152,$145.10 ,$145.10 ,$141.10 
8/4/2023,$144.12 ,1456965,$145.27 ,$146.50 ,$143.04 
8/3/2023,$145.42 ,1683946,$144.57 ,$147.42 ,$143.74 
8/2/2023,$146.51 ,2164881,$149.21 ,$150.19 ,$143.84 
8/1/2023,$150.84 ,1686001,$148.61 ,$152.80 ,$148.05 
7/31/2023,$149.41 ,1881583,$149.70 ,$151.31 ,$148.09 
7/28/2023,$148.60 ,2966669,$146.05 ,$149.33 ,$142.63 
7/27/2023,$144.52 ,5155072,$151.47 ,$151.80 ,$142.89 
7/26/2023,$149.13 ,7091364,$141.69 ,$149.21 ,$141.10 
7/25/2023,$140.38 ,14609940,$150.10 ,$152.65 ,$139.15 
7/24/2023,$163.72 ,3944857,$169.52 ,$169.52 ,$159.67 
7/21/2023,$171.71 ,2560191,$173.49 ,$179.60 ,$171.18 
7/20/2023,$172.48 ,1918487,$177.01 ,$177.59 ,$171.44 
7/19/2023,$179.84 ,1599521,$180.00 ,$182.00 ,$178.06 
7/18/2023,$179.58 ,2151627,$178.50 ,$179.82 ,$175.79 
7/17/2023,$179.17 ,2292964,$171.77 ,$179.42 ,$170.77 
7/14/2023,$172.03 ,3640583,$176.20 ,$179.24 ,$170.92 
7/13/2023,$171.10 ,2410825,$167.00 ,$173.11 ,$164.51 
7/12/2023,$165.79 ,1540681,$162.00 ,$166.12 ,$161.38 
7/11/2023,$160.58 ,1160571,$157.34 ,$161.77 ,$156.66 
7/10/2023,$157.39 ,846759,$156.03 ,$159.29 ,$155.37 
7/7/2023,$156.97 ,800804,$156.52 ,$158.64 ,$156.06 
7/6/2023,$156.62 ,1021846,$158.78 ,$159.08 ,$155.37 
7/5/2023,$160.73 ,732233,$160.69 ,$161.21 ,$158.29 
7/3/2023,$160.56 ,550312,$160.85 ,$162.37 ,$159.80 
6/30/2023,$160.55 ,1357685,$160.10 ,$161.31 ,$159.06 
6/29/2023,$159.26 ,924777,$160.53 ,$161.22 ,$158.89 
6/28/2023,$160.57 ,805556,$158.32 ,$161.66 ,$157.48 
6/27/2023,$158.62 ,1041941,$156.14 ,$159.75 ,$155.57 
6/26/2023,$153.78 ,1720330,$156.41 ,$158.21 ,$152.71 
6/23/2023,$157.49 ,1263792,$157.05 ,$158.31 ,$154.65 
6/22/2023,$159.09 ,1280893,$154.45 ,$159.17 ,$153.50 
6/21/2023,$155.93 ,2620542,$159.30 ,$160.80 ,$152.80 
6/20/2023,$156.82 ,1586267,$156.20 ,$158.78 ,$154.82 
6/16/2023,$159.99 ,3532881,$153.31 ,$160.63 ,$153.20 
6/15/2023,$152.18 ,1374456,$150.08 ,$152.24 ,$148.20 
6/14/2023,$151.65 ,1750862,$151.96 ,$153.08 ,$149.27 
6/13/2023,$151.54 ,1917745,$151.53 ,$152.74 ,$149.37 
6/12/2023,$150.60 ,1522243,$150.89 ,$151.37 ,$149.12 
6/9/2023,$150.48 ,2033197,$149.50 ,$151.73 ,$148.36 
6/8/2023,$149.47 ,1219002,$150.27 ,$151.69 ,$148.47 
6/7/2023,$148.31 ,1558223,$153.00 ,$155.68 ,$147.54 
6/6/2023,$153.03 ,1127719,$154.10 ,$154.87 ,$152.47 
6/5/2023,$156.34 ,1837809,$151.10 ,$157.13 ,$150.25 
6/2/2023,$151.74 ,1164038,$154.30 ,$155.00 ,$148.77 
6/1/2023,$153.92 ,1121440,$150.20 ,$154.60 ,$149.07 
5/31/2023,$148.90 ,1092156,$146.08 ,$149.95 ,$145.40 
5/30/2023,$148.01 ,2294417,$151.85 ,$151.85 ,$144.57 
5/26/2023,$150.31 ,1009976,$148.00 ,$151.01 ,$146.82 
5/25/2023,$147.65 ,1107421,$149.35 ,$149.85 ,$147.54 
5/24/2023,$147.04 ,1085505,$145.70 ,$148.54 ,$144.81 
5/23/2023,$147.67 ,1445619,$148.16 ,$151.16 ,$147.48 
5/22/2023,$148.60 ,973202,$148.65 ,$150.82 ,$148.21 
